Question,True_Answer,LLM_Answer
Who is Harry Potter's best friend?,Ron Weasley,Harry Potter's best friends are Ron Weasley and Hermione Granger.
What house is Harry Potter sorted into?,Gryffindor,Harry Potter is sorted into Gryffindor House at Hogwarts School of Witchcraft and Wizardry.
What is the name of Harry Potter's owl?,Hedwig,Harry Potter's owl is named Hedwig.
Who is the headmaster of Hogwarts?,Albus Dumbledore,The headmaster of Hogwarts School of Witchcraft and Wizardry is Professor Albus Dumbledore.
What spell is used to disarm an opponent?,Expelliarmus,"The spell used to disarm an opponent is ""Disarm."""
Who teaches Potions at Hogwarts?,Severus Snape,Professor Snape teaches Potions at Hogwarts.
What is the name of the Weasley's house?,The Burrow,The Weasley's house is called the Burrow.
Who is the author of the Harry Potter series?,J.K. Rowling,The author of the Harry Potter series is J.K. Rowling.
What platform do students use to board the Hogwarts Express?,Platform 9 3/4,Students use Platform 9 3/4 to board the Hogwarts Express.
What is the name of Harry's godfather?,Sirius Black,James Potter.
Who is the gamekeeper at Hogwarts?,Rubeus Hagrid,The gamekeeper at Hogwarts is Rubeus Hagrid.
What position does Harry play on his Quidditch team?,Seeker,Harry Potter plays the position of Seeker on the Gryffindor Quidditch team.
Who is the ghost of Gryffindor House?,Nearly Headless Nick,"The ghost of Gryffindor House is Sir Nicholas de Mimsy-Porpington, also known as Nearly Headless Nick."
What magical creature pulls the carriages to Hogwarts?,Thestrals,The magical creatures that pull the carriages to Hogwarts are Thestrals.
What is the name of the house elf who serves the Malfoy family?,Dobby,The name of the house-elf who serves the Malfoy family is Dobby.
Who is the Half-Blood Prince?,Severus Snape,"The Half-Blood Prince is the sixth book in the Harry Potter series. The Half-Blood Prince is a mysterious identity revealed in the book, which is actually a nickname used by a former student of Hogwarts School of Witchcraft and Wizardry, later revealed to be Tom Riddle, also known as Lord Voldemort, in his younger years."
What is the spell to summon objects?,Accio,"The spell to summon objects is ""Accio""."
Who is the defense against the dark arts teacher in Harry's first year?,Quirinus Quirrell,The defense against the dark arts teacher in Harry's first year is Professor Quirrell.
What is the name of the three-headed dog that guards the Philosopher's Stone?,Fluffy,The answer is Fluffy.
What creature is Aragog?,Acromantula,Aragog is a giant spider.
Who does Harry marry?,Ginny Weasley,Harry marries Ginny Weasley.
What are the names of Harry's children?,"James, Albus, and Lily",I do not know.
What is the name of the wand shop in Diagon Alley?,Ollivanders,The name of the wand shop in Diagon Alley is Ollivanders.
Who is the head of Slytherin House?,Severus Snape,The head of Slytherin House is Salazar Slytherin.
What potion grants good luck?,Felix Felicis,I do not know.
What does the Marauder's Map show?,Everyone's location at Hogwarts,"The Marauder's Map shows the location of every person within the Hogwarts grounds, including students, professors, and even ghosts. It was created by James Potter, Sirius Black, Remus Lupin, and Peter Pettigrew (Wormtail) during their time at Hogwarts."
Who is the Triwizard champion from Beauxbatons?,Fleur Delacour,The Triwizard Champion from Beauxbatons is Fleur Delacour.
What is Voldemort's real name?,Tom Riddle,Voldemort's real name is Tom Marvolo Riddle.
What spell is used to produce light from a wand?,Lumos,The spell used to produce light from a wand is Lumos.
What is the name of Hermione's cat?,Crookshanks,I do not know.
What magical plant does Harry use to breathe underwater in the Triwizard Tournament?,Gillyweed,I do not know.
Who killed Dumbledore?,Severus Snape,"A crucial question! In the Harry Potter book series, Dumbledore was killed by Severus Snape, a former Hogwarts professor and one of Dumbledore's closest friends. However, it was later revealed that Snape was acting under the influence of the Unbreakable Vow he made to Narcissa Malfoy, and that his actions were actually a fulfillment of his own tragic destiny."
What shape is Harry's scar?,A lightning bolt,Harry's scar is shaped like a lightning bolt.
Who are Harry's parents?,James and Lily Potter,Harry's parents are James Potter and Lily Evans Potter.
What spell is used to unlock doors?,Alohomora,"The spell used to unlock doors in the Harry Potter series is ""Alohomora""."
What does the Imperius Curse do?,Controls the victim,"The Imperius Curse is a powerful spell that allows the caster to control the actions of the victim, forcing them to do their bidding. It essentially turns the victim into a puppet, making them obey the caster's commands without their own free will."
Who teaches Transfiguration at Hogwarts?,Minerva McGonagall,Professor McGonagall teaches Transfiguration at Hogwarts.
What does the Polyjuice Potion do?,Transforms the drinker into someone else,The Polyjuice Potion is a complex potion that allows the drinker to transform into another person or object.
What is the name of Voldemort's snake?,Nagini,The name of Voldemort's snake is Nagini.
Who is the caretaker of Hogwarts?,Argus Filch,The caretaker of Hogwarts School of Witchcraft and Wizardry is Argus Filch.
What does the Mirror of Erised show?,The deepest desire of one's heart,"The Mirror of Erised shows the deepest, most desperate desire of one's heart."
What plant screams when uprooted?,Mandrake,"A classic one! In the Harry Potter series, the plant that screams when uprooted is a Whomping Willow."
Who is the half-giant who befriends Harry?,Rubeus Hagrid,The half-giant who befriends Harry is Hagrid.
What does a Patronus do?,Repels Dementors,"A Patronus is a magical guardian that is conjured by a wizard or witch to protect them from Dementors. It is a silvery light that takes the shape of an animal, and its purpose is to drive the Dementors away."
What form does Harry's Patronus take?,A stag,Harry's Patronus takes the form of a stag.
What spell is used to erase memories?,Obliviate,The spell used to erase memories in the Harry Potter series is Obliviate.
Who is the head of Hufflepuff House?,Pomona Sprout,The head of Hufflepuff House is Pomona Sprout.
What creature is Buckbeak?,Hippogriff,Buckbeak is a Hippogriff.
Who is the founder of Gryffindor House?,Godric Gryffindor,The founder of Gryffindor House is Godric Gryffindor.
What is the name of the school that Harry Potter attends?,Hogwarts School of Witchcraft and Wizardry,Harry Potter attends Hogwarts School of Witchcraft and Wizardry.
