Question,True_Answer,LLM_Answer,Retieveds_Context
Who is Harry Potter's best friend?,Ron Weasley,Ron Weasley and Hermione Granger are Harry's best friends.,"More than anything else at Hogwarts, more even than playing Quidditch, 
Harry missed his best friends, Ron Weasley and Hermione Granger."
What house is Harry Potter sorted into?,Gryffindor,Harry Potter is sorted into Gryffindor house.,"“Not Slytherin, eh?” said the small voice. “Are you sure? You could be
great, you know, it’s all here in your head, and Slytherin will help you on the
way to greatness, no doubt about that — no? Well, if you’re sure — better be
GRYFFINDOR!”"
What is the name of Harry Potter's owl?,Hedwig,Hedwig is the name of Harry Potter's owl.,"Harry kept to his room, with his new owl for company. He had decided to
call her Hedwig, a name he had found in A History of Magic."
Who is the headmaster of Hogwarts?,Albus Dumbledore,"According to the book, the headmaster of Hogwarts is Albus Dumbledore.","Harry turned over his card and read:
ALBUS DUMBLEDORE
CURRENTLY HEADMASTER OF HOGWARTS"
What spell is used to disarm an opponent?,Expelliarmus,The spell used to disarm an opponent is Expelliarmus.,"He
pulled out his wand and shouted, “Expelliarmus!” and just as Snape had
Disarmed Lockhart, so Malfoy found the diary shooting out of his hand into
the air."
Who teaches Potions at Hogwarts?,Severus Snape,Professor Snape teaches Potions at Hogwarts.,"No wonder he’s looking so
nervous, that’s Professor Snape. He teaches Potions, but he doesn’t want to —
everyone knows he’s after Quirrell’s job."
What is the name of the Weasley's house?,The Burrow,The Weasley's house is called The Burrow.,"They
had landed next to a tumbledown garage in a small yard, and Harry looked
out for the first time at Ron’s house.
It looked as though it had once been a large stone pigpen, but extra rooms
had been added here and there until it was several stories high and so crooked
it looked as though it were held up by magic (which, Harry reminded himself,
it probably was). Four or five chimneys were perched on top of the red roof.
A lopsided sign stuck in the ground near the entrance read, THE BURROW."
Who is the author of the Harry Potter series?,J.K. Rowling,The author of the Harry Potter series is J.K. Rowling.,Text copyright © 2007 by J.K. Rowling
What platform do students use to board the Hogwarts Express?,Platform 9 3/4,Platform 9 3/4!,"THE JOURNEY FROM PLATFORM NINE AND
THREE-QUARTERS"
What is the name of Harry's godfather?,Sirius Black,Sirius Black is Harry's godfather.,"I, Sirius Black, Harry Potter’s godfather, hereby give him permission to
visit Hogsmeade on weekends."
Who is the gamekeeper at Hogwarts?,Rubeus Hagrid,Hagrid is the gamekeeper at Hogwarts.,"“That’s Hagrid,” said Harry, pleased to know something the boy didn’t.
“He works at Hogwarts.”
“Oh,” said the boy, “I’ve heard of him. He’s a sort of servant, isn’t he?”
“He’s the gamekeeper,” said Harry. He was liking the boy less and less
every second."
